feature_key,module,fiscal_weight,value_score,necessity,depends_on,dependents
access_inbox,workflows,6,6,optional,access_templates,
access_systems,workflows,6,6,optional,workspace_create,access_templates
access_templates,workflows,6,6,optional,access_systems,access_inbox
account_delete,auth,8,8,required,profile_edit,
admin_api,admin,10,10,required,admin_dashboard,
admin_dashboard,admin,10,10,required,auth_email_login,admin_api;email_preview;superadmin_control_plane
admin_override,approvals,6,6,optional,approval_individual,
agile_gantt,agile,6,6,optional,agile_panel,
agile_panel,agile,6,6,optional,projects,agile_gantt;backlog_browser;capacity_fit;kanban;scrum
ai_burnout_predict,ai,7,7,optional,attendance_log;leave_my_view,
ai_chat_assist,ai,7,7,optional,ms365_calendar_sync,
ai_smart_schedule,ai,8,8,optional,calendar_monthly;leave_quotas,
allowances,leave,7,7,recommended,leave_quotas,
annual_trend,calendar,6,6,recommended,leave_my_view,
annual_view,calendar,6,6,recommended,calendar_monthly,
approval_bulk,approvals,7,7,recommended,approval_individual,
approval_chain,approvals,8,8,recommended,approval_individual;members_list,escalation
approval_inbox,approvals,10,10,required,leave_team_view,approval_individual
approval_individual,approvals,10,10,required,approval_inbox,admin_override;approval_bulk;approval_chain;decision_memory
attendance_audit,attendance,8,8,required,attendance_log,
attendance_edit_mode,attendance,6,6,recommended,attendance_log,
attendance_log,attendance,9,9,required,members_list,ai_burnout_predict;attendance_audit;attendance_edit_mode;attendance_oncall;attendance_periods;burnout_engine;site_assignment
attendance_oncall,attendance,7,7,optional,attendance_log,
attendance_periods,attendance,8,8,required,attendance_log,payroll_export
audit_log,reports,9,9,required,workspace_create,soc2_iso
auth_email_login,auth,10,10,required,auth_email_signup,admin_dashboard;profile_edit;workspace_create
auth_email_signup,auth,10,10,required,,auth_email_login;auth_google_oauth;auth_magic_link;auth_password_reset
auth_google_oauth,auth,7,7,recommended,auth_email_signup,
auth_magic_link,auth,5,5,optional,auth_email_signup,
auth_password_reset,auth,9,9,required,auth_email_signup,
azure_devops,agile,7,7,optional,workspace_create,
backlog_browser,agile,6,6,optional,agile_panel,
birthday_widget,calendar,4,4,optional,members_list,
branding,settings,7,7,recommended,workspace_create,
burnout_engine,reports,8,8,optional,leave_my_view;attendance_log,
business_roles,resources,8,8,required,members_list,
calendar_filters,calendar,7,7,recommended,calendar_monthly,
calendar_monthly,calendar,10,10,required,leave_my_view,ai_smart_schedule;annual_view;calendar_filters;coverage_planner;google_calendar_sync;ical_feed;ms365_calendar_sync;timeline_view
capacity_dna,resources,6,6,optional,skills_mgmt;members_list,capacity_fit
capacity_fit,agile,6,6,optional,capacity_dna;agile_panel,
capacity_gap,resources,8,8,recommended,resource_dashboard,
company_days,rules,6,6,recommended,holidays,
contract_types,org,7,7,required,members_list,
coverage_planner,calendar,9,9,recommended,calendar_monthly;office_coverage_rules,
csv_import,settings,8,8,recommended,members_list,
decision_memory,approvals,5,5,optional,approval_individual,
demo_workspace_seed,workspace,8,8,recommended,workspace_create,
email_preview,admin,4,4,optional,admin_dashboard,
email_unsubscribe,auth,6,6,required,,
escalation,approvals,6,6,optional,approval_chain,
executive_dashboard,reports,8,8,recommended,run_report,
export_center,reports,9,9,required,run_report,
feature_flags,platform,10,10,required,superadmin_control_plane,
financials,resources,8,8,recommended,projects,
gantt_timeline,resources,9,9,recommended,projects,
google_calendar_sync,calendar,9,9,recommended,calendar_monthly;leave_submit,
help_drawer,help,7,7,recommended,workspace_create,help_registry
help_regenerator,help,4,4,optional,help_settings,
help_registry,help,4,4,optional,help_drawer,
help_settings,settings,4,4,optional,workspace_create,help_regenerator
holiday_sync,rules,7,7,recommended,holidays,
holidays,rules,9,9,required,workspace_create,company_days;holiday_sync
ical_feed,calendar,6,6,recommended,calendar_monthly,
industries,org,4,4,optional,workspace_create,
instant_member_create,members,4,4,optional,members_list,
integration_health,settings,6,6,recommended,workspace_create,
invitation_accept,members,10,10,required,members_invite,
issue_writeback,agile,7,7,optional,jira_integration,
jira_integration,agile,9,9,recommended,workspace_create,issue_writeback;jira_issue_editor
jira_issue_editor,agile,6,6,optional,jira_integration,
job_families,org,6,6,recommended,members_list,
kanban,agile,7,7,optional,agile_panel,
leadership_levels,org,6,6,recommended,org_structure,
leave_blocked_dates,rules,8,8,recommended,leave_submit,leave_conflict_check
leave_cancel,leave,8,8,required,leave_submit,
leave_conflict_check,leave,9,9,required,leave_submit;leave_blocked_dates;leave_daily_rules,
leave_daily_rules,rules,8,8,recommended,,leave_conflict_check;office_coverage_rules;rule_templates
leave_half_day,leave,7,7,recommended,leave_submit,
leave_my_view,leave,9,9,required,leave_submit,ai_burnout_predict;annual_trend;burnout_engine;calendar_monthly;leave_team_view;run_report;timeline_view
leave_private,leave,5,5,optional,leave_submit,
leave_quota_balance,leave,9,9,required,leave_submit;leave_quotas,
leave_quotas,leave,9,9,required,members_list,ai_smart_schedule;allowances;leave_quota_balance
leave_submit,leave,10,10,required,members_list,google_calendar_sync;leave_blocked_dates;leave_cancel;leave_conflict_check;leave_half_day;leave_my_view;leave_private;leave_quota_balance;ms365_calendar_sync;substitute_inbox
leave_team_view,leave,9,9,required,leave_my_view;members_list,approval_inbox
leave_types,rules,9,9,required,workspace_create,
localization,settings,8,8,recommended,ws_general,multilingual
member_deactivate,members,8,8,required,members_list,
member_edit,members,8,8,required,members_list,
member_role_change,members,9,9,required,members_list,
members_invite,members,10,10,required,members_list,invitation_accept
members_list,members,10,10,required,workspace_create,approval_chain;attendance_log;birthday_widget;business_roles;capacity_dna;contract_types;csv_import;instant_member_create;job_families;leave_quotas;leave_submit;leave_team_view;member_deactivate;member_edit;member_role_change;members_invite;onboarding_template;org_structure;resource_dashboard;role_permissions;skills_mgmt;substitute_inbox;teams;work_categories
ms365_calendar_sync,calendar,10,10,recommended,calendar_monthly;leave_submit,ai_chat_assist
multilingual,platform,8,8,recommended,localization,
notification_prefs,settings,7,7,required,notifications,
notifications,settings,8,8,required,workspace_create,notification_prefs
office_coverage_rules,rules,8,8,recommended,offices;leave_daily_rules,coverage_planner
offices,members,9,9,required,workspace_create,office_coverage_rules;site_assignment
onboarding_inbox,workflows,7,7,recommended,onboarding_template,
onboarding_template,workflows,8,8,recommended,members_list,onboarding_inbox
open_api,platform,8,8,optional,workspace_create,
org_chart,org,8,8,recommended,org_structure,org_chart_fullscreen;org_chart_panzoom;org_chart_snapshot
org_chart_fullscreen,org,4,4,optional,org_chart,
org_chart_panzoom,org,6,6,optional,org_chart,
org_chart_snapshot,org,6,6,optional,org_chart,
org_structure,org,9,9,required,members_list,leadership_levels;org_chart
payroll_engine,platform,9,9,recommended,payroll_export,
payroll_export,attendance,9,9,recommended,attendance_periods,payroll_engine
profile_edit,auth,9,9,required,auth_email_login,account_delete
project_editor,resources,9,9,required,projects,
projects,resources,9,9,required,workspace_create,agile_panel;financials;gantt_timeline;project_editor;scenario_planner
recovery_mode,workspace,5,5,optional,workspace_create,
resource_dashboard,resources,8,8,recommended,members_list,capacity_gap;scenario_planner;utilization_heatmap
role_permissions,settings,9,9,required,members_list,
rule_templates,rules,6,6,optional,leave_daily_rules,
run_report,reports,9,9,required,leave_my_view,executive_dashboard;export_center;scheduled_reports
scenario_planner,resources,7,7,optional,projects;resource_dashboard,
scheduled_reports,reports,7,7,recommended,run_report,
scrum,agile,7,7,optional,agile_panel,
site_assignment,attendance,7,7,recommended,offices;attendance_log,
skill_capacity_report,calendar,7,7,optional,timeline_view;skills_mgmt,
skills_mgmt,resources,8,8,recommended,members_list,capacity_dna;skill_capacity_report
soc2_iso,platform,9,9,recommended,audit_log,
substitute_inbox,leave,6,6,optional,leave_submit;members_list,
superadmin_control_plane,admin,10,10,required,admin_dashboard,feature_flags
teams,members,9,9,required,members_list,
timeline_view,calendar,7,7,recommended,leave_my_view;calendar_monthly,skill_capacity_report
ui_section_state,settings,4,4,optional,workspace_create,
utilization_heatmap,resources,7,7,recommended,resource_dashboard,
work_categories,org,6,6,recommended,members_list,
workspace_archive,workspace,6,6,recommended,workspace_create,workspace_delete
workspace_create,workspace,10,10,required,auth_email_login,access_systems;audit_log;azure_devops;branding;demo_workspace_seed;help_drawer;help_settings;holidays;industries;integration_health;jira_integration;leave_types;members_list;notifications;offices;open_api;projects;recovery_mode;ui_section_state;workspace_archive;workspace_general_settings;workspace_select;ws_general
workspace_delete,workspace,7,7,required,workspace_archive,
workspace_general_settings,workspace,9,9,required,workspace_create,
workspace_select,workspace,10,10,required,workspace_create,
ws_general,settings,9,9,required,workspace_create,localization
