feature_key,name,module,fiscal_weight,status,value_score,necessity,created_in_version,estimated_dev_cost,description,dependencies
access_inbox,Hozzáférés inbox,workflows,6,public,6,optional,3.7.0,M,Approval workflow.,access_templates
access_systems,Hozzáférési rendszerek,workflows,6,public,6,optional,3.7.0,M,IT-rendszer katalógus.,workspace_create
access_templates,Hozzáférés-kérelem sablonok,workflows,6,public,6,optional,3.7.0,M,Standardizált request.,access_systems
account_delete,Fiók törlés (GDPR),auth,8,public,8,required,1.5.0,S,GDPR megfelelés.,profile_edit
admin_api,Platform admin API,admin,10,public,10,required,2.0.0,M,Service ops.,admin_dashboard
admin_dashboard,Platform admin dashboard,admin,10,public,10,required,2.0.0,M,SaaS-üzemeltetés.,auth_email_login
admin_override,Admin felülbírálat,approvals,6,public,6,optional,2.5.0,M,Vész-beavatkozás.,approval_individual
agile_gantt,Agile Gantt,agile,6,public,6,optional,3.3.0,M,Hibrid view.,agile_panel
agile_panel,Agile panel,agile,6,public,6,optional,3.0.0,M,Agile teamek.,projects
ai_burnout_predict,Burnout predikció,ai,7,beta,7,optional,3.9.0,L,Wellbeing forecast.,attendance_log;leave_my_view
ai_chat_assist,Chat asszisztens (Slack/Teams slash cmd),ai,7,planned,7,optional,3.16.0,L,Asszisztens csatorna.,ms365_calendar_sync
ai_smart_schedule,Smart Schedule (AI javaslatok),ai,8,beta,8,optional,3.9.0,L,AI-asszisztens.,calendar_monthly;leave_quotas
allowances,Juttatások kezelése,leave,7,public,7,recommended,2.5.0,M,Cafeteria/juttatás.,leave_quotas
annual_trend,Éves trend diagram,calendar,6,public,6,recommended,2.5.0,M,Trendelemzés.,leave_my_view
annual_view,Éves nézet,calendar,6,public,6,recommended,2.5.0,M,Éves tervezés.,calendar_monthly
approval_bulk,Tömeges jóváhagyás,approvals,7,public,7,recommended,2.5.0,S,Hatékonyság nagy csapatoknál.,approval_individual
approval_chain,Jóváhagyási lánc konfig,approvals,8,public,8,recommended,3.0.0,L,Multi-level workflow.,approval_individual;members_list
approval_inbox,Jóváhagyó inbox,approvals,10,public,10,required,1.5.0,S,Vezetői workflow.,leave_team_view
approval_individual,Egyenkénti jóváhagyás,approvals,10,public,10,required,1.5.0,S,Alap döntéshozatal.,approval_inbox
attendance_audit,Attendance audit,attendance,8,public,8,required,3.6.0,S,Compliance.,attendance_log
attendance_edit_mode,Edit mode + batch drag,attendance,6,public,6,recommended,3.7.1,M,UX gyorsítás.,attendance_log
attendance_log,Munkaóra naplózás,attendance,9,public,9,required,3.6.0,L,Időnyilvántartás.,members_list
attendance_oncall,On-call ügyelet,attendance,7,public,7,optional,3.6.0,M,24/7 csapatok.,attendance_log
attendance_periods,Időszak workflow,attendance,8,public,8,required,3.6.0,M,Hónap zárás.,attendance_log
audit_log,Audit napló,reports,9,public,9,required,2.5.0,M,Compliance/SOC2.,workspace_create
auth_email_login,E-mail bejelentkezés,auth,10,public,10,required,1.0.0,S,Napi belépés.,auth_email_signup
auth_email_signup,E-mail regisztráció,auth,10,public,10,required,1.0.0,S,"Felhasználói belépési pont, minden funkció előfeltétele.",
auth_google_oauth,Google OAuth,auth,7,public,7,recommended,1.2.0,S,Súrlódásmentes belépés Google fiókkal.,auth_email_signup
